user_id,age,gender,join_date,plan,churn_date,user_email
1,37,F,2023-01-06,basic,2024-12-28,1@gmail.com
2,24,M,2025-10-04,standard,,2@daum.net
3,42,F,2021-08-19,standard,,3@naver.com
4,43,M,2019-09-17,premium,,4@naver.com
5,18,M,2023-10-11,premium,,5@naver.com
6,21,M,2025-11-20,standard,,6@daum.net
7,35,M,2020-03-16,standard,,7@gmail.com
8,31,M,2026-01-01,basic,,8@daum.net
9,34,M,2022-11-02,basic,,9@gmail.com
10,25,M,2022-12-23,standard,,10@gmail.com
11,43,M,2025-10-21,standard,,11@naver.com
12,42,F,2021-05-11,basic,,12@daum.net
13,35,M,2024-04-14,basic,,13@daum.net
14,45,M,2019-01-23,standard,,14@daum.net
15,39,M,2023-10-05,basic,2025-05-04,15@daum.net
16,25,F,2019-02-10,standard,2025-10-12,16@daum.net
17,38,F,2019-01-11,standard,,17@naver.com
18,24,F,2021-10-02,premium,,18@gmail.com
19,43,F,2021-08-23,basic,,19@daum.net
20,34,M,2024-07-21,basic,,20@naver.com
21,32,F,2020-09-14,basic,2024-11-25,21@naver.com
22,27,M,2025-09-06,basic,,22@naver.com
23,46,F,2023-06-03,standard,,23@gmail.com
24,32,M,2020-02-05,standard,,24@daum.net
25,30,M,2023-10-04,basic,,25@daum.net
26,30,F,2022-06-17,premium,,26@naver.com
27,39,F,2022-10-02,standard,,27@naver.com
28,38,F,2022-07-23,basic,,28@daum.net
29,38,M,2019-02-15,basic,2024-05-15,29@naver.com
30,38,M,2021-09-11,premium,,30@naver.com
31,55,M,2025-11-02,standard,,31@naver.com
32,30,M,2022-10-30,premium,,32@gmail.com
33,29,M,2023-11-17,basic,,33@gmail.com
34,26,M,2025-07-23,standard,2025-12-12,34@naver.com
35,40,F,2024-10-10,basic,,35@daum.net
36,45,M,2022-02-09,basic,2025-07-11,36@gmail.com
37,33,F,2020-06-12,standard,2024-03-08,37@daum.net
38,26,F,2019-12-23,standard,,38@daum.net
39,26,F,2021-07-31,basic,,39@gmail.com
40,41,M,2023-09-20,basic,2026-01-22,40@naver.com
41,41,M,2024-08-30,standard,,41@gmail.com
42,39,M,2019-03-23,basic,2024-11-15,42@daum.net
43,27,F,2022-04-11,basic,,43@daum.net
44,36,M,2025-08-31,basic,,44@naver.com
45,35,M,2024-10-30,basic,,45@gmail.com
46,36,F,2025-08-31,premium,,46@daum.net
47,43,F,2019-10-29,basic,2024-12-06,47@naver.com
48,36,F,2019-08-27,standard,,48@daum.net
49,41,M,2023-10-30,standard,,49@daum.net
50,35,F,2022-11-27,basic,2024-06-10,50@daum.net
51,37,M,2022-05-21,standard,,51@daum.net
52,40,M,2024-08-27,basic,,52@gmail.com
53,19,F,2022-03-18,premium,2024-02-20,53@naver.com
54,31,F,2022-04-18,standard,,54@naver.com
55,29,M,2023-08-08,standard,2024-04-18,55@naver.com
56,28,M,2022-05-25,standard,2024-04-26,56@gmail.com
57,31,M,2023-07-05,premium,,57@naver.com
58,49,F,2025-11-17,standard,,58@gmail.com
59,25,F,2024-10-02,basic,,59@daum.net
60,44,M,2020-08-20,basic,,60@daum.net
61,18,M,2022-12-28,basic,2025-02-11,siyoung8kim@gmail.com
62,31,F,2022-09-25,basic,,62@daum.net
63,36,F,2023-02-22,basic,,63@naver.com
64,40,M,2019-10-25,premium,,64@daum.net
65,41,F,2022-02-26,premium,,65@naver.com
66,42,F,2021-02-22,basic,,66@gmail.com
67,31,M,2019-08-16,premium,,67@daum.net
68,29,F,2025-01-12,standard,,68@naver.com
69,43,F,2019-12-01,standard,,69@gmail.com
70,32,F,2024-01-30,premium,,70@naver.com
71,21,F,2024-04-13,standard,,71@daum.net
72,23,F,2023-05-05,standard,,72@gmail.com
73,25,M,2022-03-25,basic,2024-02-26,73@naver.com
74,39,M,2019-10-22,basic,,74@gmail.com
75,35,F,2019-02-11,premium,,75@daum.net
76,41,M,2025-01-12,basic,,76@naver.com
77,30,M,2020-04-19,basic,,77@gmail.com
78,36,M,2021-02-11,basic,,78@gmail.com
79,40,F,2023-11-22,standard,,79@naver.com
80,31,F,2022-10-17,standard,,80@daum.net
81,39,F,2020-06-04,premium,,81@daum.net
82,27,F,2020-08-27,standard,,82@naver.com
83,30,M,2019-01-21,premium,2024-05-10,83@gmail.com
84,30,M,2022-09-10,standard,,84@daum.net
85,22,F,2025-07-17,standard,,85@naver.com
86,39,M,2022-12-26,basic,2025-10-03,86@daum.net
87,29,F,2023-09-15,basic,,87@gmail.com
88,34,F,2021-05-31,premium,,88@gmail.com
89,39,M,2019-03-19,standard,,89@daum.net
90,38,F,2022-08-03,standard,,90@daum.net
91,41,M,2024-03-06,premium,,91@naver.com
92,33,M,2021-11-17,standard,,92@daum.net
93,30,M,2025-02-05,basic,,93@daum.net
94,33,M,2023-12-12,standard,,94@naver.com
95,18,M,2022-08-04,standard,2025-07-30,95@daum.net
96,20,F,2022-11-09,standard,2026-01-13,96@gmail.com
97,21,M,2020-08-11,basic,,97@gmail.com
98,24,F,2025-03-24,basic,,98@daum.net
99,38,F,2019-06-04,standard,,99@naver.com
100,25,M,2019-05-09,basic,,100@gmail.com
101,30,M,2024-07-23,basic,,101@daum.net
102,47,F,2019-03-10,standard,,102@gmail.com
103,30,F,2022-08-12,standard,,103@daum.net
104,41,F,2020-05-03,basic,,104@gmail.com
105,25,M,2023-10-30,standard,,105@daum.net
106,32,F,2019-11-04,basic,,106@daum.net
107,24,F,2020-11-16,standard,2025-12-13,107@daum.net
108,31,F,2022-09-24,standard,,108@naver.com
109,42,M,2021-09-05,premium,2024-08-20,109@naver.com
110,18,F,2020-06-02,basic,,110@daum.net
111,38,M,2019-06-11,premium,,111@gmail.com
112,36,F,2019-02-11,premium,,112@daum.net
113,28,F,2020-05-12,standard,2024-02-29,113@naver.com
114,20,F,2021-01-01,premium,,114@naver.com
115,35,M,2019-11-07,basic,,115@naver.com
116,29,F,2022-08-11,basic,,116@naver.com
117,36,M,2025-04-12,premium,,117@gmail.com
118,34,M,2024-01-24,standard,,118@gmail.com
119,50,F,2021-03-06,basic,,119@gmail.com
120,32,F,2022-02-09,basic,2024-02-16,120@gmail.com
121,24,M,2024-06-15,basic,,121@naver.com
122,36,F,2025-10-29,basic,,122@daum.net
123,36,M,2022-11-29,basic,,123@naver.com
124,48,F,2020-05-31,premium,,124@naver.com
125,42,F,2025-02-24,basic,,125@daum.net
126,38,F,2022-08-24,standard,,126@naver.com
127,49,F,2019-03-18,basic,,127@gmail.com
128,22,F,2020-10-17,basic,,128@daum.net
129,28,M,2022-10-11,premium,,129@naver.com
130,25,F,2024-09-20,basic,,130@naver.com
131,30,M,2025-01-15,basic,,131@naver.com
132,20,M,2020-05-01,premium,,132@naver.com
133,40,F,2024-02-16,basic,,133@gmail.com
134,32,M,2023-10-31,basic,2024-10-18,134@naver.com
135,19,M,2024-08-30,premium,,135@daum.net
136,24,F,2024-01-31,standard,2024-05-12,136@gmail.com
137,37,M,2024-08-23,standard,,137@naver.com
138,42,M,2022-12-13,basic,,138@gmail.com
139,54,M,2023-04-20,basic,,139@naver.com
140,63,M,2022-10-10,standard,,140@naver.com
141,38,F,2019-03-13,standard,2024-02-02,141@daum.net
142,24,F,2021-07-27,basic,,142@gmail.com
143,18,F,2024-07-04,premium,,143@gmail.com
144,37,M,2019-02-24,standard,,144@naver.com
145,26,F,2021-12-20,standard,,145@daum.net
146,30,M,2025-06-28,standard,,146@daum.net
147,28,F,2020-09-22,standard,2024-08-01,147@gmail.com
148,33,F,2024-08-20,standard,,148@gmail.com
149,45,M,2022-07-25,basic,2024-06-07,149@daum.net
150,36,F,2019-12-16,premium,,150@gmail.com
151,32,F,2019-10-03,standard,,151@daum.net
152,24,M,2019-11-13,premium,,152@gmail.com
153,18,F,2022-04-20,premium,,153@daum.net
154,29,F,2021-03-08,basic,,154@gmail.com
155,33,M,2025-05-06,standard,,155@naver.com
156,52,M,2024-05-30,standard,,156@naver.com
157,35,F,2020-01-06,standard,,157@gmail.com
158,44,F,2022-07-27,premium,,158@naver.com
159,29,F,2024-06-06,basic,,159@naver.com
160,22,F,2023-08-22,standard,,160@daum.net
161,24,F,2019-01-25,premium,,161@daum.net
162,27,M,2019-01-17,premium,,162@naver.com
163,55,M,2023-02-20,basic,,163@naver.com
164,26,M,2025-07-20,premium,,164@naver.com
165,42,F,2019-05-11,basic,,165@naver.com
166,25,F,2020-03-05,standard,,166@daum.net
167,43,F,2020-05-03,basic,2025-11-04,167@gmail.com
168,38,M,2021-04-05,standard,,168@gmail.com
169,32,M,2025-04-25,basic,2025-08-12,169@naver.com
170,34,F,2025-09-19,basic,,170@gmail.com
171,27,M,2021-03-04,basic,2025-03-26,171@gmail.com
172,38,M,2024-03-13,premium,,172@gmail.com
173,29,F,2019-01-27,standard,,173@daum.net
174,22,F,2022-08-16,standard,2024-07-15,174@daum.net
175,21,F,2023-06-14,standard,,175@daum.net
176,36,M,2025-02-12,standard,,176@naver.com
177,50,M,2024-10-29,basic,,177@daum.net
178,36,M,2019-06-08,basic,,178@gmail.com
179,33,M,2021-12-05,standard,,179@daum.net
180,37,M,2019-07-17,premium,,180@naver.com
181,47,M,2019-01-25,basic,,181@daum.net
182,36,F,2020-02-06,standard,2025-10-24,182@gmail.com
183,30,M,2025-08-13,premium,,183@naver.com
184,45,M,2020-11-16,premium,,184@daum.net
185,38,M,2024-03-30,basic,,185@naver.com
186,49,F,2024-01-11,premium,,186@naver.com
187,36,M,2025-02-24,standard,,187@gmail.com
188,22,M,2022-10-10,standard,,188@naver.com
189,20,M,2025-11-30,standard,,189@gmail.com
190,51,M,2022-01-08,basic,,190@gmail.com
191,51,F,2024-08-01,standard,,191@daum.net
192,32,M,2024-07-19,standard,,192@naver.com
193,30,M,2022-11-08,standard,,193@naver.com
194,49,F,2021-04-01,premium,,194@naver.com
195,23,M,2020-02-16,standard,,195@daum.net
196,25,F,2019-08-10,basic,,196@gmail.com
197,40,M,2022-07-17,basic,,197@naver.com
198,30,F,2021-10-24,premium,2024-07-25,198@gmail.com
199,34,M,2020-06-25,standard,,199@naver.com
200,32,M,2024-06-08,premium,,200@daum.net
201,37,M,2020-02-26,standard,,201@naver.com
202,48,F,2022-05-12,standard,,202@daum.net
203,35,M,2022-01-15,premium,2025-06-07,203@naver.com
204,40,F,2025-12-05,standard,,204@daum.net
205,18,F,2019-09-28,basic,2024-03-29,205@naver.com
206,34,M,2021-03-07,basic,2024-03-07,206@gmail.com
207,26,M,2023-11-08,premium,,207@daum.net
208,22,M,2024-08-10,standard,,208@daum.net
209,25,F,2024-07-07,standard,,209@gmail.com
